Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
nm,mN,N/m,nm,uN
0,0,290.9871696,0.375012089,2.205994437
-0.062676714,0.000349226,1718.058669,0.30428804,2.246481433
0.504159726,0.000655383,4961.937534,0.237493102,2.297910909
0.36196118,0.001010049,7753.459921,0.207806465,2.33183244
0.311358462,0.001358449,11466.376,0.183358646,2.377790654
0.384826458,0.001698361,13423.9194,0.168515326,2.408429477
0.277600865,0.002050635,15584.11358,0.154545144,2.439068271
0.49429143,0.002380748,18077.53779,0.140574961,2.486120753
0.407050381,0.002731654,18967.9259,0.137082416,2.515665317
0.408074403,0.003076522,19933.42959,0.133153302,2.56052929
0.51901342,0.00341387,20513.25655,0.130970461,2.596639325
0.688240691,0.00374723,21505.94778,0.129660756,2.701686702
0.512734571,0.004104175,22908.01311,0.127477915,2.842844064
0.578708363,0.0044446,24170.83694,0.124421937,2.936948998
0.546424811,0.004791746,25241.03241,0.124858506,3.075917891
0.917726654,0.005076787,25910.40101,0.125295073,3.16892861
0.849074037,0.005458114,26593.07661,0.127477914,3.307897505
0.801802388,0.005803618,27500.73576,0.126604778,3.400908173
0.960205007,0.006135051,28514.88892,0.126604778,3.540971336
1.104451907,0.006467451,29044.78192,0.127041345,3.632887791
0.93977106,0.006820988,29618.67279,0.12835105,3.743406355
0.937464635,0.007163416,31747.72671,0.130533891,4.076056309
1.045905894,0.007498266,32800.24474,0.132716732,4.271925877
1.160175977,0.007832717,34574.20485,0.134899573,4.565183104
0.94470108,0.008189729,35582.94303,0.136645846,4.761052622
1.015671318,0.008527143,37373.13843,0.137955551,5.055404076
1.072485837,0.008865526,38353.53575,0.139265255,5.251273644
0.944443321,0.009216556,39319.87436,0.142757801,5.542342334
0.676508995,0.009577157,39518.86159,0.146686916,5.734929109
0.990624522,0.009897936,40288.47065,0.151052597,6.024903646
0.915041435,0.010245377,40298.63959,0.156291415,6.248129253
0.953536788,0.010585013,41207.41524,0.161966802,6.637679883
1.083627571,0.010921803,41879.40473,0.171134734,7.164010939
1.104636846,0.011259214,41998.77067,0.177683257,7.484624247
1.272199048,0.01159002,42632.53362,0.185978052,7.966091342
1.26073304,0.011933073,42870.22199,0.192526575,8.283421902
1.1268617,0.012284502,43187.00447,0.199075098,8.600752416
1.364369805,0.012610521,42944.41777,0.212608711,9.086596522
1.141400705,0.012968045,42548.80921,0.223522917,9.432377345
1.244845827,0.013303237,41844.40545,0.238802804,9.887582571
1.330804473,0.013639625,41894.46476,0.250153576,10.35263605
1.671566453,0.013955159,41975.58705,0.260631211,10.79689893
1.076384821,0.01434157,42230.56679,0.269362578,11.21489965
1.580353516,0.014649359,42360.57128,0.285079031,11.88567103
1.518093459,0.014995887,42231.89023,0.295993236,12.29272949
1.260151009,0.015359225,41815.77682,0.313892534,12.89237474
1.316132838,0.015697663,41470.24691,0.326989579,13.3125642
1.050696581,0.016058093,41259.67994,0.344015741,13.92971729
1.251566755,0.016383199,41121.67876,0.354929944,14.32145651
1.204295105,0.016728702,40696.61735,0.373265809,14.89812266
0.944687673,0.017088733,40445.11302,0.381560606,15.1355734
1.294608841,0.017407063,40204.73154,0.403389014,15.91248629
0.910930697,0.017775582,39775.19157,0.419105472,16.35784307
1.201730922,0.018097956,38950.74181,0.444862993,17.00782382
1.057867309,0.018450069,38199.64727,0.4653817,17.45536919
0.934820929,0.018800757,37201.85282,0.49463177,18.07361665
0.763478566,0.01915475,36346.68032,0.518643023,18.5222562
1.155866892,0.019470174,35581.17609,0.540907997,18.91071292
1.053637746,0.019819437,34385.4617,0.577143159,19.49941567
0.75905736,0.020181862,33544.94874,0.603337254,19.88568341
0.598539959,0.020535115,32564.56014,0.634770167,20.30258994
0.94762844,0.020853501,31150.30147,0.684102369,20.91974344
0.546463816,0.021223218,30333.80773,0.71422558,21.26661828
0.967163581,0.021536705,29168.37605,0.760938372,21.78857262
0.552675928,0.021907334,28416.59445,0.792371289,22.10371438
0.681934421,0.022240761,27690.12981,0.824240765,22.40681986
0.538903496,0.022592818,26656.23486,0.873572975,22.86093072
0.777244294,0.022918781,25932.64848,0.909808132,23.1695075
0.384406562,0.023287929,25232.44568,0.946479867,23.46276437
0.883379127,0.023596061,24503.11055,0.985334428,23.73413719
0.47305492,0.023966405,23786.75962,1.026371847,24.02520549
1.101927023,0.02426565,23152.39424,1.065662973,24.30533227
0.793190918,0.024629043,22386.59977,1.117178027,24.66314962
0.906628313,0.024963552,21988.49136,1.147301231,24.89841205
0.657845841,0.025322843,21741.33937,1.170875919,25.14571077
0.65054328,0.025665613,21533.63186,1.192267761,25.39082127
1.016285547,0.025982861,21220.30908,1.223264095,25.73003701
1.138882525,0.026316743,21033.10112,1.24334623,25.95982821
1.190700907,0.026655467,20905.49018,1.260372388,26.19180784
0.635488755,0.027035723,20921.67847,1.269540333,26.44457756
0.725610849,0.027371828,20895.82803,1.281327673,26.69953626
1.160466332,0.027684346,20893.18634,1.291368731,26.95996662
1.05240836,0.028034009,20900.20461,1.303592643,27.30903012
1.249114689,0.028362821,20891.54932,1.312324003,27.53663291
1.135227892,0.028712882,20774.17386,1.326294188,27.73031383
1.060477494,0.029060266,20646.26186,1.341137509,27.92946607
1.037353836,0.029404118,20520.7406,1.359473374,28.23147712
1.195756455,0.02973555,20398.6833,1.373006984,28.40983906
1.044398638,0.030088176,20289.22975,1.386104034,28.586012
1.161166789,0.030422456,20051.88105,1.41055185,28.84206507
1.321234787,0.030753774,20003.02048,1.417536937,28.95258378
1.198188407,0.031104462,19842.19538,1.438055647,29.21629637
1.277485539,0.031441306,19785.21447,1.447660144,29.37277316
1.437553536,0.031772625,19735.88654,1.457701208,29.53581555
1.013073613,0.032143936,19754.11023,1.463376606,29.70979985
1.377150501,0.032461297,19795.81389,1.471234825,29.96804158
1.168337119,0.032817852,19825.1079,1.476037079,30.12889519
1.278443756,0.033152589,19911.92944,1.47778335,30.3083512
1.130416696,0.033504986,19981.06493,1.480402762,30.48452422
1.720985082,0.03380685,20031.12897,1.48738784,30.73620079
0.918464199,0.034204026,20045.54374,1.490880406,30.8357761
1.320844796,0.034518766,20061.63348,1.501794601,31.08088701
1.216117582,0.0348682,20055.31212,1.509216262,31.21766731
1.331220355,0.035202595,19985.79944,1.520567033,31.35007087
1.472136498,0.035535223,19807.68039,1.542395437,31.51858449
1.57474893,0.035870472,19757.47656,1.553309641,31.6400456
1.525811902,0.036216089,19735.13095,1.56291414,31.7626008
2.282918151,0.036506558,19738.73065,1.570772349,31.87968565
1.293042174,0.036916551,19997.7904,1.567716398,32.10619294
1.976871764,0.037212034,20267.18464,1.559421585,32.26923594
1.753069977,0.037569614,20628.02564,1.546324543,32.46619949
2.14046216,0.037885378,21126.33441,1.525369261,32.68504859
2.057384871,0.03823333,21768.24272,1.496992329,32.92359354
2.146674273,0.038569489,23077.58066,1.439365327,33.34378308
1.796303707,0.038935729,24201.16277,1.39221597,33.66549022
1.833966371,0.03927542,25334.3964,1.347686015,33.98282082
1.8274965,0.039618131,26609.78041,1.300973217,34.33297868
2.166592702,0.039937199,28580.2657,1.235487981,34.87462952
1.553092305,0.040321442,29825.96157,1.198379697,35.23463484
1.492497627,0.040667857,30932.01879,1.168693064,35.58479263
1.742496072,0.040993021,31882.33896,1.146428078,35.93932776
1.770166464,0.041333397,32576.70073,1.133767601,36.29386274
1.721229437,0.041679013,32787.71581,1.138569852,36.69982684
2.030348824,0.042000133,32650.83045,1.149920619,36.93837227
1.071282347,0.042408019,32263.4386,1.169129639,37.15065426
1.967864066,0.042688946,31213.73311,1.214532713,37.41436804
1.189491176,0.043084469,30354.63783,1.252077596,37.5522417
2.297575984,0.043350926,29299.87705,1.299226934,37.66166745
2.121237489,0.043705258,28347.32787,1.344193462,37.75030091
2.202199998,0.044041987,27098.89689,1.408805552,37.88161022
2.232368458,0.04438219,26759.77717,1.428451121,37.94507638
2.529413847,0.044704135,26162.92779,1.468178818,38.14204057
2.184455764,0.045070003,26009.15504,1.482149009,38.2864802
2.540205751,0.045387931,25948.15767,1.490880364,38.4320151
2.228138896,0.045751549,25941.03919,1.496992327,38.59177416
2.439833629,0.046079333,26422.54064,1.482149003,38.90472806
2.18896944,0.046438764,26990.81314,1.460757168,39.15421515
2.354033571,0.046769739,27872.54478,1.426704845,39.45075539
2.311758059,0.047114899,28807.93552,1.392652528,39.74838949
2.548849817,0.047440945,30330.26826,1.341137475,40.23642233
2.27133957,0.047802199,30901.02071,1.323238186,40.43338573
2.310251267,0.048141804,32311.72296,1.283073912,40.9564342
2.298368915,0.048484885,33088.32687,1.263428344,41.27485886
2.201968597,0.048833748,33799.49018,1.247275323,41.59000088
2.155945983,0.049179165,34464.60591,1.23374171,41.90295435
2.601626417,0.04949094,34984.076,1.228502882,42.31767331
2.309544107,0.049853191,35115.64586,1.231558866,42.56934874
2.415487295,0.05018821,35069.99917,1.240290227,42.81664796
2.339487865,0.050535677,34866.22182,1.25687982,43.15476898
2.324274757,0.050878985,34663.02552,1.270413434,43.36376956
2.234119608,0.051227421,34434.14376,1.286129892,43.60450278
2.494110322,0.051551901,34230.31629,1.301409772,43.85727355
2.183708846,0.051915405,34057.26479,1.314506825,44.06517914
2.33919705,0.052247035,33810.58463,1.333279254,44.36281369
2.274022581,0.052593762,33599.21613,1.347249438,44.55649459
2.472394285,0.052922457,33408.9339,1.362529319,44.80817092
2.283565451,0.053277644,33314.71428,1.373880097,45.05328108
2.610587656,0.053597538,33236.72662,1.383048021,45.24805693
2.26979302,0.053963121,33129.96678,1.396145075,45.52927686
2.606807497,0.054282331,33080.38826,1.404003294,45.7207701
2.134031601,0.054656945,33045.7961,1.411861534,45.93414669
2.463551875,0.054976668,32995.63982,1.420592889,46.16393845
2.325100746,0.055328408,32983.11054,1.426704848,46.36090186
2.630473028,0.055649782,33028.8915,1.433253362,46.66619631
2.359207951,0.056010609,33161.39696,1.433689938,46.87738482
2.350240012,0.05635349,33301.60427,1.43325337,47.07981986
2.528627172,0.056683553,33430.65043,1.436309343,47.40809311
2.806104361,0.057006836,33497.72952,1.438928744,47.62365956
2.535255629,0.057367633,33571.72419,1.441111593,47.83922494
2.731961954,0.057696442,33657.93452,1.442421292,48.04494312
2.385754838,0.058062396,33738.39768,1.445040711,48.28239326
2.939268538,0.058366793,33805.97696,1.448533241,48.52312775
2.495220427,0.058739441,33936.10963,1.451589231,48.85249426
2.839729107,0.059058137,33982.65466,1.455081767,49.0647781
2.372782039,0.059432352,33958.54995,1.461193734,49.26721226
2.69231004,0.059752758,33880.36108,1.469488521,49.45761119
2.373581671,0.060116832,33852.31023,1.478656462,49.73883111
2.760141162,0.060432652,33880.04692,1.483458701,49.93470136
2.490541464,0.060793364,33868.56391,1.490007232,50.11196831
2.913739285,0.061106677,33849.36477,1.496992311,50.29580193
2.677447161,0.06146511,33880.13218,1.502231136,50.50589621
2.775896145,0.061800642,33870.77543,1.511835634,50.8090019
2.657013216,0.062151043,33808.92083,1.519693864,50.97423233
2.862879122,0.062479225,33767.07357,1.527115518,51.1493116
2.543318065,0.062843355,33707.56388,1.534973754,51.32001302
3.011481109,0.063153592,33682.79538,1.544141673,51.56950134
2.440447876,0.063534927,33642.47962,1.55112678,51.73582535
2.9102763,0.06384505,33583.11076,1.558548426,51.8988684
2.604038272,0.064208269,33521.95001,1.565533526,52.05862738
3.025570713,0.064521695,33401.0585,1.577320855,52.28951347
2.706842347,0.064885769,33330.70467,1.582996251,52.37814661
2.931027418,0.065212698,33133.62313,1.599149267,52.60465544
2.575660721,0.065579278,33064.15412,1.607007505,52.74800057
3.361911084,0.065867751,32977.97433,1.615738845,52.88368824
2.929936971,0.066239572,32939.39418,1.62272395,53.02375054
2.916805586,0.066582737,32927.98929,1.630582177,53.22727991
3.067713997,0.066914679,32934.53376,1.635384423,53.36843738
3.266918388,0.067243316,32985.30388,1.638440394,53.51506656
3.174681517,0.067591892,33130.32772,1.637567261,53.67373148
3.486298966,0.067912838,33470.13288,1.631018729,53.92540818
2.94857331,0.068291894,33685.39132,1.625343359,54.04467957
3.251863866,0.06861341,34277.48849,1.609626895,54.36201082
2.9955872,0.06897321,34750.90678,1.596093289,54.58523593
3.557011443,0.069277065,35322.06694,1.578630545,54.81940507
3.239115769,0.06964108,36180.02487,1.5533096,55.17612781
3.499939169,0.069965501,36846.89037,1.534100592,55.44640645
3.165389708,0.070330656,37501.27874,1.515764738,55.71011833
3.342944176,0.070660774,38489.06433,1.489134074,56.11061194
3.292341772,0.071006502,39119.2639,1.473417621,56.3951149
3.599795773,0.071327733,39647.89631,1.461193703,56.66101672
3.158662079,0.07170018,40198.84696,1.449406374,56.96959255
3.119717325,0.072045111,40736.67759,1.438055603,57.27707493
3.363886939,0.072370671,41211.41547,1.431070505,57.67428552
3.59889697,0.072696858,41348.94597,1.431943636,57.91392545
3.276837823,0.073061378,41412.07083,1.434999621,58.14371585
3.321161795,0.073402386,41366.09672,1.444167552,58.48949689
3.369649007,0.073744875,41185.26575,1.454645187,58.68536636
3.43728788,0.07408772,40873.21184,1.469051936,58.86044558
3.335057927,0.07444395,40381.35666,1.491316916,59.10227313
3.784068111,0.074764097,40020.80462,1.507469926,59.2554682
3.162240031,0.075155835,39625.95438,1.525805808,59.42835725
3.836075086,0.07547129,39194.38058,1.546324493,59.59358943
3.459056855,0.075853257,38803.13179,1.567279777,59.81353155
3.693232362,0.076195267,38626.25165,1.578193974,59.96234923
3.587670424,0.076562292,38501.32005,1.587361909,60.11226022
3.713596328,0.076911638,38381.21924,1.596529838,60.25888919
3.552243789,0.077286069,38478.13379,1.600458956,60.52807259
3.788916527,0.077635096,38683.58784,1.59783954,60.71847146
3.70750174,0.078007688,38899.66112,1.594783565,60.90011576
3.666055826,0.078379376,39452.40516,1.582559657,61.23057715
3.766999567,0.078743192,39912.562,1.572518586,61.51836338
3.979523467,0.079101162,40359.59318,1.562040944,61.77222831
3.785694768,0.079488798,40808.20214,1.551563313,62.01843249
4.168086853,0.079838874,41500.84541,1.535846848,62.40360716
3.845190878,0.080239064,41916.40757,1.527115494,62.65418802
4.036063984,0.080606014,42311.271,1.518820693,62.89492224
3.805596074,0.08100373,42850.56731,1.508779631,63.27790671
3.786631025,0.081388898,43164.6911,1.503540814,63.52630005
3.528683916,0.081792371,43462.42357,1.498738571,63.77578677
4.222500467,0.082132629,43831.8657,1.49437287,64.14783128
3.87961861,0.082545699,43985.73012,1.492626607,64.30540131
4.168747714,0.082917452,44208.60776,1.494372872,64.7113665
4.074839509,0.08331736,44257.86588,1.49786542,64.93678023
4.009242504,0.083717369,44246.24652,1.503540808,65.16547706
4.169304082,0.084103821,44213.45757,1.512272167,65.48827914
4.21611968,0.084500036,44196.05882,1.517947552,65.69618561
3.870738375,0.084925146,44134.83305,1.524932653,65.89533698
4.261454186,0.08530188,44005.84956,1.536719983,66.18859524
4.039310434,0.085722551,43915.29722,1.544578216,66.37461592
4.253495645,0.086115378,43815.19725,1.552873006,66.56829761
4.086308915,0.086536345,43738.8275,1.560731238,66.78386313
3.991565913,0.086954436,43702.31365,1.567279763,67.01037138
3.958441678,0.087370395,43712.43823,1.571645446,67.21827734
4.474892152,0.087750741,43834.38693,1.57426484,67.53123236
4.127010891,0.088192266,43945.94494,1.574701419,67.74023183
4.382829128,0.088594617,44065.30283,1.575137979,67.96236418
4.164846907,0.089031478,44241.71268,1.575574554,68.27093996
4.516423926,0.089431464,44462.62058,1.572955135,68.50620324
4.459150257,0.089861492,44623.95954,1.572082,68.72286323
4.442678116,0.090290856,44821.04003,1.572518569,69.04675935
4.24467945,0.090734846,44862.40515,1.573828279,69.16603125
4.543796048,0.091146973,44973.74449,1.578193952,69.51728427
4.321648897,0.091596879,45028.5394,1.580813367,69.70768195
4.639916847,0.092012014,45033.83094,1.585179042,69.90136383
4.214592995,0.092480211,44994.99919,1.593473849,70.185866
4.593646751,0.092895598,44987.05637,1.598276087,70.3707942
4.61547655,0.093337543,44933.84894,1.604388041,70.54806148
4.895439774,0.093764034,44760.52183,1.616611942,70.80849239
4.988047657,0.094205493,44640.36028,1.624470166,70.96715767
5.209722122,0.094640324,44604.5071,1.629708978,71.14551994
4.804381288,0.095120315,44671.14509,1.631455262,71.33810579
5.225900658,0.095545997,44829.5285,1.632328387,71.65324897
4.80057475,0.09603192,44975.39656,1.631455263,71.86224827
5.103851709,0.096470267,45145.17547,1.629708982,72.06468428
4.724323171,0.096957706,45309.44927,1.628399287,72.27806067
5.061739852,0.097398351,45599.87216,1.624906734,72.60633452
5.150182168,0.097858323,45797.93578,1.62228732,72.81642948
5.39017367,0.098310192,46027.72718,1.618794769,73.03309027
4.93237127,0.098812183,46454.51342,1.611373123,73.37777565
5.319748226,0.099258715,46717.49349,1.607007432,73.59115423
5.003502453,0.099755765,46986.22508,1.603514893,73.85267761
5.385050034,0.10020742,47249.37119,1.600458906,74.11967397
4.977207887,0.100715492,47633.21409,1.595220099,74.47749053
5.442023836,0.101166262,47913.69461,1.590854406,74.71822526
5.156586458,0.101670755,48184.52776,1.586925299,74.95895809
5.832904933,0.102111794,48669.16412,1.578630486,75.32990834
5.151106899,0.102648188,49087.14759,1.570772276,75.61112715
5.640902399,0.103106937,49516.7035,1.562477469,75.88468926
5.134801225,0.103636277,50125.99068,1.551563278,76.30378318
5.309839595,0.104121553,50444.70878,1.546761025,76.57077903
5.328332094,0.104619983,50831.37129,1.540649069,76.87607299
5.716538346,0.105095601,51225.04276,1.534973673,77.20872401
5.207937949,0.105635055,51470.96315,1.532790845,77.48009504
5.734370034,0.106106287,51791.14326,1.531044559,77.89043772
5.363995472,0.106641334,51992.97239,1.530171432,78.15743213
5.427451724,0.107149307,52159.03615,1.530607999,78.43318164
5.238602817,0.107677168,52187.91967,1.536719958,78.78662176
5.673437891,0.108164894,52152.86984,1.542395333,79.01641404
5.338035077,0.108707882,52072.82537,1.549380432,79.23635607
5.56469723,0.109214999,51970.77761,1.559421495,79.56791244
5.467442945,0.109746906,51910.0986,1.564223747,79.70250411
5.778622454,0.110253462,51783.84799,1.576011079,80.07017076
5.487350962,0.110803837,51747.56005,1.581686472,80.28573591
5.619085311,0.111327985,51711.12267,1.587361856,80.49911377
5.279933555,0.111887038,51612.25391,1.596966365,80.81206642
5.350464608,0.112420829,51536.75423,1.603514886,81.01121895
5.68745593,0.112938983,51495.9389,1.609190262,81.2245972
5.820021723,0.11347378,51436.19313,1.617048486,81.51566643
5.542071381,0.114039396,51408.64747,1.621850744,81.71262948
6.022284318,0.114555841,51431.34625,1.625343275,81.92600832
5.854664677,0.115119325,51449.33159,1.628835824,82.13829096
6.137113275,0.115654738,51451.43417,1.633201498,82.37683693
5.541907039,0.116253054,51444.69653,1.639313471,82.69088308
5.72734667,0.11680085,51494.64751,1.641496306,82.89550715
6.06641716,0.117340815,51544.13723,1.643679136,83.09794298
6.155680545,0.117900624,51857.51062,1.640186588,83.44591285
5.806532691,0.118493292,52107.98888,1.636694054,83.68117402
6.372510025,0.11902619,52415.29943,1.631891787,83.93941719
5.900956187,0.119632921,52999.47758,1.620977597,84.33990884
6.035183459,0.120201131,53400.87865,1.613555934,84.60909325
6.027020525,0.120781993,53939.88806,1.603078299,84.92861218
6.167492302,0.121355483,54540.23994,1.591727522,85.28205343
5.911187287,0.121959143,55116.28846,1.580813326,85.59719461
6.278149856,0.122523082,56069.91831,1.562914021,86.09835928
6.172560928,0.123122212,56693.637,1.551563252,86.43429155
6.420448254,0.123700107,57099.08741,1.545887858,86.74286919
6.027997175,0.124324841,57630.5906,1.539339347,87.19369617
6.322514399,0.124905582,57977.37727,1.535410225,87.50117951
5.821396665,0.125543793,58243.39551,1.533663967,87.7977179
6.256221328,0.126121002,58538.27957,1.533663955,88.23760518
5.961609831,0.126751139,58707.91363,1.535846804,88.60417582
6.131638592,0.127352578,58777.76243,1.538902777,88.88430262
5.966925908,0.12797997,58710.69829,1.545014736,89.14254352
6.417986589,0.128568287,58458.5932,1.557675199,89.51239929
5.957668497,0.12922205,58245.56884,1.567279712,89.73781191
6.455359055,0.129813396,58155.06968,1.573391652,89.96213345
6.211123108,0.130458594,58070.66079,1.581686455,90.32870414
6.086794041,0.131098812,57970.554,1.588234981,90.55849503
6.154815831,0.131729019,57880.86076,1.594346933,90.78500353
6.518025607,0.132342142,57803.83306,1.602205149,91.13516257
6.250056543,0.133001628,57737.82664,1.607880544,91.37042396
6.360544378,0.133638453,57763.09788,1.611809654,91.65383354
6.187084791,0.13429797,57875.22876,1.613119364,91.90441463
6.507825915,0.134926886,58177.24554,1.61180965,92.30600314
6.549199414,0.13557812,58393.267,1.610063376,92.56096181
6.641782928,0.136229082,58685.11087,1.609190237,92.94832438
6.258067788,0.136915974,58886.1004,1.608317112,93.19890485
6.641259083,0.137553725,59113.24779,1.607443964,93.48012683
6.379532149,0.138238925,59406.75899,1.607007404,93.88390155
6.463370876,0.138903807,59574.42987,1.607007402,94.13010676
6.232036314,0.139593679,59767.08175,1.607443977,94.43649408
6.482828448,0.140253961,59882.02132,1.60962681,94.72428105
6.501716232,0.140933429,60034.33793,1.610499946,95.00221868
6.761667168,0.141599777,60158.87292,1.613992484,95.37207415
6.523669519,0.142303642,60174.00358,1.618358172,95.62484349
6.68203156,0.142983853,60155.03556,1.623160417,95.87104879
6.778774193,0.143671727,60129.97473,1.629708937,96.22339544
7.370133867,0.144329051,60116.15094,1.633638032,96.43786908
7.05219646,0.145052069,60052.10574,1.63887686,96.65562251
7.278837417,0.14574138,59972.15876,1.646298512,96.98608479
6.938416577,0.146472997,59955.34999,1.648917931,97.12614687
7.535603436,0.147144006,59863.40878,1.657212708,97.4927204
7.308427518,0.147874924,59768.34487,1.662888101,97.6973431
7.380186625,0.148588993,59685.60734,1.669436621,98.00154311
7.303726627,0.149316784,59767.78798,1.67030976,98.22914535
7.687743372,0.150016662,59862.45232,1.671182885,98.45565528
7.24573195,0.150776686,60042.40881,1.671619467,98.79486915
7.66971693,0.151481127,60265.38641,1.669436613,99.03998119
7.374257963,0.152238474,60589.57189,1.664634372,99.29165599
8.027231639,0.152934541,61216.94032,1.654593285,99.70747083
7.379544269,0.153723284,61789.80848,1.644988805,100.0434015
7.602016724,0.15445634,62490.23524,1.63276489,100.4274816
7.735391,0.155199168,63116.25116,1.622287251,100.7634147
7.985341345,0.15593769,64087.44483,1.60657079,101.2908411
7.736510384,0.156714145,64709.31274,1.596966298,101.6409983
8.186305265,0.157446592,65352.1985,1.586925217,101.9999116
